Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,GA,2022,12,Male,17,Right-Handed,182,33,193,1,Car,10,0.324,37,Lacrosse,,,,,,,30,Right foot,100,105,Ring finger,January,Winter,No,No,Meat,Water,Mathematics and statistics,8,6,3,Yes - other,Cell phone,260,274,10,2,12,2,18,3,1,4,10,4,15,0.5,Very little,Graduate degree,Country,Invisibility,Happy,Business person,Religious
USA,NE,2017,10,Male,16,Right-Handed,70,32,170,2,Car,30,0.34,50,Baseball/Softball,900,900,900,800,500,600,31,Right foot,40,50,Ring finger,September,Summer,Yes,No,Meat,Water,Physical education,7,9,5,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",20,30,48,2,2,48,14,2,6,1,3,20,0,4,Some,Graduate degree,Pop,Super strength,Happy,Relative,Health
USA,SC,2020,12,Female,18,Right-Handed,5'3,,,1,Car,,3.061,39,Athletics,299,1000,326,487,0,1000,,Same length,,,Ring finger,September,Spring,No,No,Seafood,Water,Mathematics and statistics,,,4,Yes - other,Text messaging,4,2,,,,,,,,,,,,,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
USA,TX,2023,12,Female,17,Right-Handed,172,26,177,1,Car,7,0.328,35,Other,650,600,450,500,200,500,26,Right foot,7,7,Index finger,February,Spring,Yes,No,Poultry,Water,Art,7,9,6,Yes - broadband connection,,15,15,10,1,0,1,0,0,3,20,50,5,15,7,Some,Other,Rap/Hip hop,Telepathy,Happy,Friend,International aid
USA,WI,2014,12,Female,17,Right-Handed,165,25,168,1,Car,10,0.501,40,Tennis,800,900,850,800,800,800,25,Same length,75,75,Same length,May,Fall,No,No,Pizza/Pasta,Milk,Music,8,11,8,Yes - broadband connection,In person,7,15,2,1,9,7,11,0,20,1,21,11,15,2,Some,Graduate degree,Pop,Freeze time,Healthy,Relative,"Arts, culture, sports"
USA,WI,2013,8,Male,11,Right-Handed,155,25.6,155,1,Bus,15,0.791,61,Football (American),572,583,620,695,754,856,24.2,Right foot,67,67,Same length,May,Fall,No,No,Desserts,Water,Physical education,7,9,4,Yes - other,Telephone,0,0,10,2,20,35,27,30,0,1,25,7,0,0,A lot,Graduate degree,Pop,Invisibility,Healthy,Relative,"Wildlife, animals"
USA,IN,2023,11,Female,16,Right-Handed,169,24,50,2,Bus,10,0.327,32,Swimming,900,500,300,300,800,800,24,Same length,77,69,Index finger,May,Fall,No,No,No favorite,Water,History,6,8,4,Yes - other,Text messaging,1000,1773,20,20,10,0,0,25,16,24,30,5,4,2,A lot,Graduate degree,Other,Fly,Rich,Other,Environment
USA,WA,2017,12,Female,17,Right-Handed,160,22,159,1,Car,7,0.35,33,Other,450,450,450,450,1000,1000,22,Same length,80,78,Index finger,September,Fall,Yes,No,Poultry,Water,Art,6.5,9,6,Yes - broadband connection,In person,4,5,2,0,6,10,0,14,7,2,21,14,0,6,Some,Graduate degree,Other,Fly,Happy,Teacher,Other
USA,NC,2018,10,Male,15,Right-Handed,190,30,192,1.5,Car,10,0.28,30,Football (American),200,100,400,750,900,900,26,Left foot,82,80,Ring finger,September,Fall,Yes,No,Seafood,Water,Mathematics and statistics,6,11,2,Yes - broadband connection,In person,20,25,10,1,4,20,20,15,15,1,25,5,0,4,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,Health
USA,CA,2017,12,Male,16,Right-Handed,167,23,69,2,Car,7,0.301,30,Swimming,791,503,834,856,1000,1000,23,Same length,70,80,Ring finger,November,Fall,No,No,Seafood,Water,Mathematics and statistics,6,6,4,Yes - broadband connection,Text messaging,10,11,35,2,10,24,12,20,4,3,39,4,0,0,A lot,Graduate degree,Other,Freeze time,Rich,Musician or singer,Health
USA,TX,2015,12,Female,17,Right-Handed,155,23,148,1,Car,10,0.65,60,Baseball/Softball,711,620,684,460,733,872,22,Right foot,83,86,Ring finger,May,Fall,Yes,No,Pizza/Pasta,Water,English,8,10,5,Yes - other,In person,150,200,5,2,5,8,8,0,12,40,4,2,3,3,A lot,Undergraduate degree,Country,Invisibility,Happy,Relative,Health
USA,CA,2023,11,Male,16,Right-Handed,5'11,11,,2,Car,5,0.325,50,Basketball,626,791,781,711,508,743,11,Same length,,,Same length,May,Fall,Yes,No,No favorite,Water,History,7,11,3,Yes - other,Text messaging,309,411,3,12,2,3,2,1,1,3,5,2,5,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Relative,"Wildlife, animals"
USA,TX,2017,12,Male,17,Right-Handed,190,30,191,1,Car,7,0.29,40,Lacrosse,,,,,,,30,Same length,,,,May,Fall,No,No,,Water,History,6,9,5,Yes - broadband connection,Text messaging,200,200,6,,8,3,5,,,,3,,10,2,Some,Graduate degree,,Freeze time,Rich,Politician,"Wildlife, animals"
USA,NC,2022,11,Female,17,Right-Handed,170.2,22,175,1,Car,6,0.47,42,Running/Jogging,594,540,567,540,588,561,22,Same length,70,70,Same length,February,Winter,No,No,Rice/Noodle dishes,Water,Art,6,10,5,Yes - other,Text messaging,300,395,25,2,5,30,5,10,15,30,30,30,0,15,A lot,Graduate degree,Pop,Freeze time,Happy,Relative,"Wildlife, animals"
USA,CA,2012,7,Male,12,Right-Handed,149,25,144,2,Car,20,0.428,33,Tennis,695,866,380,957,1000,1000,25,Same length,70,65,Index finger,October,Summer,Yes,No,Rice/Noodle dishes,Sports drink,Science,8,7,4,Yes - broadband connection,In person,2,4,14,4,12,7,14,1,7,1,14,0,0,1,Very little,Graduate degree,Techno/Electronic,Freeze time,Rich,Business person,Health
USA,FL,2016,11,Male,18,Right-Handed,167.6,35,167.6,2,Car,20,0.37,39,Soccer,500,500,900,900,450,600,35,Same length,1500,1700,Ring finger,December,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),Music,8,6,6,Yes - broadband connection,In person,3,20,0,0,0,4,3,2,0.5,0.5,8,4,5,2,Very little,Other,Rap/Hip hop,Invisibility,Rich,Sports person,Other
USA,IN,2017,12,Male,17,Right-Handed,175,28,128,1,Car,5,,,Baseball/Softball,,,,,,,28,Same length,,,Ring finger,July,Spring,No,No,Meat,Sports drink,Physical education,7,5.5,6,Yes - broadband connection,Text messaging,,,8,2,5,5,20,2,5,10,1,4,12,7,Very little,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Sports person,"Arts, culture, sports"
USA,WA,2023,11,Female,16,Right-Handed,175.2,25.4,,3,Walk,5-10,0.306,34,Hockey (Ice),1000,551,519,1000,1000,1000,25.4,Same length,213.4,223.5,Ring finger,July,Summer,No,No,Pizza/Pasta,Water,Science,7,7,4-5,Yes - other,Text messaging,100,100,15,5,6,3,4,10,3,5,24/7,24/7,12,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Other,International aid
USA,SC,2024,12,Female,18,Right-Handed,154,24,152,2,Bus,54,0.28,50,Dancing,925,610,652,653,348,807,23,Right foot,70,72,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,Other,6,8,6,Yes - broadband connection,Text messaging,62,63,9,7,6,12,8,0,13,9,3,7,0,11,Some,Some college,Rap/Hip hop,Telepathy,Rich,Doctor or nurse,International aid
USA,MI,2019,9,Male,14,Right-Handed,4”10,8,108,1,Car,3 min,0.74,59,Skateboarding/Rollerblading,100,100,50,1000,5,600,8cm,Same length,7,6,Index finger,March,Summer,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Other,4,6,3,Yes - broadband connection,Cell phone,50,50,3,7,3,10,0,8,60,68,100,6,0,5,A lot,High school,Other,Invisibility,Famous,Musician or singer,"Wildlife, animals"
USA,NC,2013,11,Female,16,Right-Handed,169,28,182,3,Car,6,0.375,41,Other,380,446,326,508,1000,1000,28,Same length,90,80,Index finger,May,Spring,Yes,No,Pizza/Pasta,Powdered drink,Mathematics and statistics,6,10,6,Yes - broadband connection,Text messaging,200,200,25,5,10,20,50,3,25,50,30,10,16,5,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Education/Youth development
USA,SC,2024,11,Male,17,Right-Handed,183,25,184,1,Car,10,0.319,39,Football (American),700,650,800,750,200,900,25,Same length,76,76,Same length,December,Summer,Yes,No,Meat,Water,Physical education,8,8,3,Yes - broadband connection,Text messaging,20,20,6,2,5,6,6,18,18,8,24,5,25,5,Some,Graduate degree,Pop,Fly,Happy,Sports person,"Wildlife, animals"
USA,OR,2024,7,Male,13,Right-Handed,4.11,21,149,1,Bus,45,0.37,27,Hockey (Ice),95,56,50,54,19,56,21,Left foot,60,70,Ring finger,June,Summer,No,No,Meat,Water,Music,10,1,4,Yes - other,In person,0,0,36,0,0,5,10,1,0,0,3,2,0,3,Very little,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Health
USA,CA,2022,12,Male,17,Right-Handed,181,23,177,1,Car,10,0.323,33,Table Tennis,273,321,241,601,727,956,27,Left foot,9.1,9,Index finger,April,Winter,No,No,Seafood,Water,Computers and technology,9,10,3,Yes - broadband connection,,0,3,8,0,10,1,0,50,3,0,4,0,9,1,Some,Some college,Rock and roll,Freeze time,Rich,Other,Health
USA,CA,2021,12,Female,17,Right-Handed,152.4,22.86,27,2,Walk,20,0.365,42,Soccer,1000,1000,1000,1000,500,500,22.86,Same length,30mm,25mm,Ring finger,January,Winter,No,No,Fruit,Coffee,Art,6,8,6,Yes - broadband connection,Text messaging,3,1,4,0,4,3,3,3,4,2,7,6,5,5,Very little,Graduate degree,Punk rock,Telepathy,Famous,Musician or singer,"Arts, culture, sports"
USA,IL,2018,12,Female,17,Right-Handed,149,23,149,2,Car,5,0.533,41,Tennis,524,476,497,481,1000,1000,23,Same length,68,68,Index finger,February,Fall,Yes,No,Rice/Noodle dishes,Water,Art,6,8,6,Yes - broadband connection,Cell phone,7,6,30,1,12,15,10,1,10,10,10,5,8,56,Some,Graduate degree,Rhythm and blues (R&B),Freeze time,Healthy,Relative,International aid
USA,OH,2019,6,Female,12,Right-Handed,145,22,141,1,Car,5,0.414,40,Dancing,717,765,668,888,503,503,21,Right foot,70,70,Index finger,May,Summer,No,No,Seafood,Water,English,10,8,5,Yes - other,Text messaging,200,500,10,1,0,5,15,1,3,2,2,3,0,2,Very little,Graduate degree,Pop,Telepathy,Rich,Other,International aid
USA,NC,2017,11,Male,15,Left-Handed,180,26,181,1,Car,10,0.2,,Other,900,900,900,900,750,750,27,Left foot,88,98,Ring finger,September,Fall,No,No,Poultry,Water,Computers and technology,7,9,5,Yes - broadband connection,Text messaging,200,250,10,1,10,7,10,5,5,5,10,0,12,2,A lot,Graduate degree,Rock and roll,Telepathy,Rich,Business person,Health
USA,WA,2019,11,Female,17,,5'2,6,56,3,Bus,25,1.35,57,None,1000,1000,1000,1000,497,770,6,Same length,7,7,Same length,November,Winter,No,No,Rice/Noodle dishes,Water,Other,7,6~7,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",7,5~6,5~6hr,2hr,2 hr,1 hr,1 hr,1 hr,1 hr,2 hr,1 hr,2 hr,,1 hr,Some,Graduate degree,Rhythm and blues (R&B),Invisibility,Happy,Musician or singer,Other
USA,WI,2013,8,Female,13,Left-Handed,164,24.5,170,3,Bus,11,0.514,38,Dancing,824,791,1000,856,513,545,24,Right foot,70,50,Index finger,May,Fall,No,No,Pizza/Pasta,Water,Languages,8,10,4,Yes - broadband connection,Text messaging,101,98,45,5,10,23,32,0,15,11,5,1,0,2,Very little,Some college,Rock and roll,Invisibility,Happy,Actor,Health
USA,IN,2019,12,Male,16,Right-Handed,162,24,28,3,Walk,7,0.223,49,Tennis,952,872,952,984,1000,1000,24,Same length,8.5,8,Index finger,January,Summer,Yes,No,Breads/Sandwiches,Water,Science,6.5,10,3,Yes - broadband connection,Text messaging,35,50,5,0,30,7,6,2,15,30,80,7,0,3,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Doctor or nurse,Health
USA,NY,2019,11,Female,16,Right-Handed,157,23,154,3,Skateboard/Scooter/Rollerblade,10,0.403,47,Dancing,813,508,834,679,1000,1000,23,Same length,750,740,Index finger,October,Fall,No,No,Rice/Noodle dishes,Water,Other,6,8,3,Yes - broadband connection,Internet chat or instant messaging,40,50,4,1,25,5,2,0,15,10,35,0,0,2,A lot,Graduate degree,Pop,Fly,Happy,Relative,Environment
USA,PA,2014,12,Male,16,Right-Handed,182.9,25,175.4,3,Car,8,0.249,38,Baseball/Softball,800,700,800,800,700,700,25,Same length,9.5,8.9,Index finger,February,Spring,Yes,No,Meat,Water,Mathematics and statistics,6.5,8.5,3,Yes - broadband connection,Text messaging,75,75,4.5,0.25,10,2,4.5,5,6,3,10,0,17,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health
USA,TX,2017,12,Male,17,Right-Handed,176,28,178,1,Car,12,0.388,32,Basketball,193,456,687,786,429,612,28,Same length,81,80,,August,Summer,No,No,Meat,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Text messaging,200,200,45,10,30,35,20,2,12,4,8,6,25,3,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Health
USA,MD,2021,11,Female,16,Right-Handed,165,25,153,2,Bus,20,0.499,62,Dancing,800,700,600,600,700,850,25,Same length,75,66,Index finger,July,Fall,Yes,No,Other,Water,Other,5,8,4,Yes - broadband connection,In person,3,1,1,1,21,21,4,0,2,2,40,9,1,6,A lot,Graduate degree,Other,Freeze time,Happy,Other,Religious
USA,CA,2016,12,Female,17,Right-Handed,155,22,150,2,Car,15,1.5,38,Swimming,968,882,770,914,80,375,22,Same length,6,6,Same length,December,Winter,No,No,Desserts,Water,Other,4,7,2,Yes - broadband connection,In person,9,30,16,5,7,4,1,9,1,3,46,9,0,0,A lot,Graduate degree,Pop,Telepathy,Famous,Other,Environment
USA,CA,2018,12,Male,17,Right-Handed,167,24,172,1,Car,22,0.342,41,Soccer,700,300,300,1000,800,1000,24,Same length,90,95,Ring finger,May,Spring,No,No,Meat,Water,Other,7,9,3,Yes - broadband connection,Internet chat or instant messaging,5,4,0,0,3,0,0,4,8,4,10,0,0,0,A lot,Graduate degree,Classical,Telepathy,Happy,Other,International aid
USA,OK,2018,12,Female,17,Right-Handed,163,25,165,1,Car,2,0.632,39,Baseball/Softball,1000,1000,1000,904,775,914,25,Right foot,70,80,Ring finger,January,Fall,No,No,Rice/Noodle dishes,Water,Art,6,8,3,Yes - broadband connection,In person,20,15,5,0,20,15,13,0,10,0,18,4,0,1,A lot,Undergraduate degree,Pop,Telepathy,Healthy,Religious figure,International aid
USA,SC,2013,11,Male,18,Right-Handed,170,24,191,3,Car,5,0.54,54,Running/Jogging,1000,1000,1000,1000,40,50,25,Left foot,90,75,Index finger,August,Winter,No,Yes,Salads,Soft drink (caffeinated),English,4,10,4,Yes - broadband connection,Cell phone,75,87,67,3,74,2,2,2,2,45,89,5,60,76,Some,Graduate degree,Reggae,Telepathy,Famous,Actor,"Wildlife, animals"
USA,VT,2024,12,Female,16,Right-Handed,152.4,20.32,158,2,Car,10,0.339,43,Baseball/Softball,754,524,540,487,251,70,20.32,Same length,6.98,7.62,Ring finger,November,Summer,Yes,No,Pizza/Pasta,Water,Other,6,5,5,Yes - other,,56,35,20,60,20,30,20,10,20,5,60,1,6,1,Some,Graduate degree,Reggae,Invisibility,Rich,Relative,Health
USA,PA,2014,12,Female,17,Right-Handed,164,60,171,1,Car,7,0.507,43,Soccer,500,600,500,500,900,800,58,Left foot,80,84,Ring finger,February,Summer,No,No,Desserts,Water,History,8,10,3,Yes - broadband connection,Text messaging,100,100,16,1,1,6,20,0,5,5,3,15,0,0,Some,Undergraduate degree,Techno/Electronic,Telepathy,Happy,Coach or club leader,"Arts, culture, sports"
USA,NC,2023,11,Female,15,Right-Handed,178,26,163,1,Car,27,0.4,35,Swimming,1000,970,980,960,950,950,26,Same length,75,72,Index finger,October,Winter,No,No,Rice/Noodle dishes,Water,Other,6,10,5,,Other,120,130,3,0.1,24,2,3,0.5,2,4,9,2,0,2,A lot,Graduate degree,Other,Freeze time,Happy,Other,Environment
USA,CA,2024,11,Male,18,Right-Handed,175,25,170,2,Car,2,0.283,41,Football (American),850,600,600,350,500,500,25,Same length,91,91,Same length,December,Summer,Yes,No,Soups,Water,Science,7,11,4,Yes - broadband connection,Internet chat or instant messaging,200,300,4,<1,10,8,6,20,10,20,25,<1,5,4,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Teacher,International aid
USA,CA,2021,12,Female,17,Right-Handed,158,19,161,1,Car,4,0.747,37,Martial Arts,950,900,1000,700,400,700,19,Same length,6,7,Ring finger,December,Summer,Yes,No,Fruit,Water,History,7,9,4,Yes - dial-up connection,Cell phone,75,100,5,20,5,20,15,0,10,15,2,3,40,3,Some,Graduate degree,Country,Super strength,Rich,Business person,International aid
USA,ID,2024,10,Male,16,Right-Handed,175.2,10,69,1,Car,3,0.31,42,Football (American),759,524,679,412,1000,1000,9,Right foot,33,30,Index finger,February,Fall,Yes,No,Meat,,Physical education,5,10,4,Yes - other,Internet chat or instant messaging,45,35,3,4,4,7,4,10,7,7,10,3,7,9,Very little,Graduate degree,Rap/Hip hop,Super strength,Happy,Other,Health
USA,MI,2021,12,Female,17,Right-Handed,161,24,159,1,Car,12,0.463,54,Other,,,,,,,24,Same length,70,75,Ring finger,March,Fall,Yes,No,,,,,,,,,,,24,30,50,15,10,0,40,70,100,45,16,20,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Business person,Health
USA,WI,2013,7,Male,12,Right-Handed,,,,,Bus,,,,Basketball,,,,,,,,,,,Ring finger,September,Summer,Yes,No,Meat,Milk,Mathematics and statistics,,,,Yes - broadband connection,Internet chat or instant messaging,,,,,,,,,,,,,,,Very little,Graduate degree,Rock and roll,Freeze time,Happy,Other,Other
USA,IN,2012,5,Male,12,Left-Handed,143,,,,Bus,,,,Basketball,,,,,,,23,,,,,August,Summer,,,Other,Other,Mathematics and statistics,,,6,,Text messaging,,,,,,,,,,,,,,,A lot,Undergraduate degree,Country,Freeze time,Happy,,
USA,GA,2024,9,Female,17,Right-Handed,154.9,21.6,,1,Car,34,0.4,35,Dancing,1000,503,631,524,749,925,21.6,Same length,76.2,76.2,Index finger,January,Summer,Yes,No,Pizza/Pasta,Water,,3,5,7,Yes - other,Text messaging,2000,1000,8,2,1,6,0,0,20,24,24,24,12,16,A lot,Graduate degree,Other,Invisibility,Rich,Musician or singer,Education/Youth development
USA,NC,2023,12,Male,16,Right-Handed,175,30,158,1,Walk,3,0.333,36,Swimming,1000,500,500,1000,1000,1000,30,Same length,91,90,Index finger,September,Winter,Yes,No,Meat,Soft drink (caffeinated),Computers and technology,6,12,4,Yes - broadband connection,Text messaging,200,200,10,1,20,0,1,5,0,10,30,0,0,3,A lot,Graduate degree,Punk rock,Freeze time,Happy,Friend,Education/Youth development
USA,FL,2014,12,Male,16,Right-Handed,176.5,26.67,180.5,2,Car,8,0.271,36,Baseball/Softball,1000,1000,500,900,500,900,26.92,Left foot,88,76,Index finger,September,Summer,No,No,Seafood,Milk,Mathematics and statistics,8,9,4,Yes - broadband connection,In person,20,20,6,1,6,6,10,1,1,3,6,3,0,3,Some,Graduate degree,Country,Telepathy,Healthy,Relative,Health
USA,AR,2016,9,Female,15,Right-Handed,160,24,161,5,Bus,10,0.324,24,Basketball,1000,1000,1000,1000,0,0,24,Same length,7,7.5,Ring finger,April,Fall,No,No,Fruit,Water,Science,8,8,4,Yes - broadband connection,In person,1,46,2,1,5,5,1,1,1,1,1,1,1,3,A lot,Graduate degree,Country,Freeze time,Happy,Actor,"Wildlife, animals"
USA,MI,2011,12,Female,16,Left-Handed,132,25,132,1,Car,5,0.454,39,Other,300,300,300,,700,700,25,Same length,7,7,Index finger,July,Summer,Yes,No,Breads/Sandwiches,Water,English,6,12,5,Yes - broadband connection,Text messaging,150,149,3,3,6,4,19,0,5,1,5,5,0,6,Some,Undergraduate degree,Country,Fly,Healthy,Other,Health
USA,IN,2019,12,Male,17,Right-Handed,176,27,130,3,Car,15,0.5,34,Swimming,900,1000,800,500,0,500,26,Right foot,95,97,Ring finger,December,Summer,No,No,No favorite,Water,Other,8,10,5,Yes - broadband connection,In person,2,2,15,1,3,4,,,,,,,,,,,,,,,
USA,PA,2015,12,Male,18,Right-Handed,182.8,0.25,178,2,Bus,30,0.477,48,Dancing,900,700,200,950,100,150,0.24,Right foot,0.7512,0.889,Ring finger,September,Fall,Yes,No,Pizza/Pasta,Juice,Music,7,5,6,Yes - other,Text messaging,300,275,3,7,1,2,1,1,4,5,6,6,0,1,Very little,Undergraduate degree,Pop,Telepathy,Rich,Actor,Health
USA,CA,2020,12,Female,18,Right-Handed,162,22.5,160,2,Car,15,0.524,37,Gymnastics,524,412,813,615,294,476,22.5,Same length,60,60,Ring finger,June,Winter,No,No,Meat,Juice,Science,6,6,3,Yes - dial-up connection,Text messaging,5,8,3,3,34,3,0,2,2,2,10,0,0,0,A lot,Graduate degree,Pop,Fly,Happy,Sports person,Health
USA,MI,2019,12,Female,18,Right-Handed,158,24,153,1,Car,12,0.349,41,Walking/Hiking,1000,680,510,850,170,340,24,Same length,28,28,Same length,December,Spring,No,Yes,No favorite,Water,Art,6,9,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,8,12,0,10,5,5,0,8,8,35,1,0,7,Some,Undergraduate degree,Other,Fly,Happy,Musician or singer,Health
USA,GU,2016,12,Male,17,Right-Handed,174,24,69,3,Car,3,,,Soccer,100,200,300,200,100,100,24,Same length,14,11,Index finger,July,Winter,No,No,Meat,Coffee,Mathematics and statistics,6,9,3,Yes - other,Internet chat or instant messaging,10,10,2,1,2,4,3,2,2,3,1,0,0,2,Some,Undergraduate degree,Rock and roll,Fly,Happy,Other,"Wildlife, animals"
USA,NJ,2011,10,Male,14,Right-Handed,165,25,180,1,Car,0,0.295,42,Basketball,500,500,500,,350,350,24,Right foot,64,72,Ring finger,January,Fall,No,No,Meat,Milk,Mathematics and statistics,8.5,10,4,Yes - broadband connection,In person,20,32,10,1,15,3,12,1,1,1,10,5,0,0,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,WI,2021,9,Male,14,Right-Handed,173,24,179,1,Car,7 ish,0.534,35,Baseball/Softball,600,700,200,500,800,1000,24,Same length,8,8.5,Ring finger,January,Spring,Yes,No,Pizza/Pasta,Soft drink (non-caffeinated),Mathematics and statistics,7-9,5-10,6,Yes - broadband connection,Internet chat or instant messaging,0,0,1,0,0,4,1,6,0,1,6,0,0,5,Some,Undergraduate degree,Other,Freeze time,Happy,Relative,Health
USA,DC,2018,7,Male,13,Right-Handed,169,27,175,2,Bus,4,0.706,60,Swimming,636,497,1000,1000,1000,1000,27,Same length,100,100,Same length,March,Summer,Yes,No,No favorite,Water,Science,4,5,5,Yes - other,,0,0,3,0,1,15,1,8,8,0,0,0,0,1,None,Graduate degree,Rap/Hip hop,Telepathy,Famous,Actor,Environment
USA,TX,2019,11,Female,16,Right-Handed,162,23.8,162,2,Car,15,0.737,43,Walking/Hiking,1000,1000,1000,1000,500,500,23.8,Same length,85,92,Ring finger,August,Fall,No,No,No favorite,Tea,Art,5,7,6,Yes - broadband connection,Text messaging,80,100,5,2,35,7,0,0,42,7,42,0,0,5,A lot,Less than high school,Other,Freeze time,Happy,Friend,Environment
USA,CO,2022,8,Female,13,Right-Handed,157,20,154,1,Car,30,0.339,40,Athletics,800,800,700,800,300,300,21,Left foot,75,80,Index finger,July,Fall,Yes,No,Desserts,Water,Social studies,8,8-9,3,Yes - other,Text messaging,15,30,10,1,5,2,7,1,1,1,9,3,2,1,Some,Graduate degree,Pop,Telepathy,Happy,Other,"Wildlife, animals"
USA,CA,2018,12,Female,16,Right-Handed,152,22.5,152,1,Car,10,0.374,32,Basketball,950,950,950,900,900,900,23,Left foot,7.5,8,Ring finger,September,Summer,No,No,Breads/Sandwiches,Water,Social studies,7,9,6,Yes - broadband connection,In person,20,25,5,1,6,5,2,7,5,2,7,1,0,4,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Healthy,Relative,Education/Youth development
USA,GA,2018,9,Male,15,Left-Handed,152,26.5,207,1,Car,5,0.347,34.2,None,348,337,326,583,1000,1000,27,Same length,86,72,Ring finger,September,Fall,Yes,No,No favorite,Water,Music,7,9,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",200,200,,,,,,,,,,,,,,,,,,,
USA,CA,2023,9,Female,14,Right-Handed,157.5,22.86,156,2,Car,8,0.48,36,Walking/Hiking,999,800,800,700,200,600,22.86,Same length,60,70,Ring finger,November,Winter,No,No,No favorite,Water,Music,8,9,5,Yes - other,Text messaging,400,400,40,,,,,,,,,,,,,,,,,,
USA,GA,2016,9,Male,15,Right-Handed,175.2,25,169,2,Bus,10,0.293,40,Baseball/Softball,636,824,652,872,348,604,25,Same length,8.5,10,Index finger,October,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,9,4,Yes - broadband connection,Text messaging,100,10000,45,2,10,5,7,5,25,3,5,1,0,1,Very little,Graduate degree,Gospel,Invisibility,Happy,Religious figure,Education/Youth development
USA,MI,2019,9,Female,14,Right-Handed,165,26,156,1,Car,30,0.771,73,Soccer,500,750,300,200,800,1000,25,Right foot,70,75,Ring finger,September,Summer,No,No,Rice/Noodle dishes,Water,Science,7,10,5,Yes - other,Other,10,20,25,5,15,10,0,0,15,2,20,2,0,1,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,International aid
USA,IN,2017,12,Female,17,Right-Handed,160,7.8,157,4,Car,11,0.46,51,Soccer,1000,980,990,1000,100,100,7.8,Same length,93,91,Index finger,February,Fall,No,No,Rice/Noodle dishes,Water,History,5.5,8,4,Yes - other,Text messaging,50,51,5,1,8,6,1,0,1,1,1,0,0,0,A lot,Graduate degree,Other,Invisibility,Happy,Relative,International aid
USA,WI,2014,9,Female,14,Right-Handed,63,26.5,23,1,Bus,15,0.539,35,Athletics,750,503,1000,1000,53,150,24,Right foot,10,8,Index finger,May,Fall,,No,Fruit,Water,Science,7,9,3,Yes - other,Text messaging,500,600,1,2,10,24,21,0,1,21,7,12,0,7,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
USA,ID,2023,12,Male,14,Right-Handed,175,25.2,180,1,Car,15,0.311,37,Athletics,300,500,400,300,1000,1000,25.2,Same length,90,89,Index finger,April,Spring,Yes,No,No favorite,Water,Mathematics and statistics,7.5,7.5,4,Yes - broadband connection,,120,323,40,0,1,4.5,7,2,0,7,7,0,0,7,Some,Graduate degree,Heavy metal,Freeze time,Healthy,Relative,Other
